Gene name	Module
AT1G08800	Green
AT1G08810	Turquoise
AT1G08820	Tan
AT1G08830	Greenyellow
AT1G08840	Blue
AT1G08845	Yellow
AT1G08860	Salmon
AT1G08880	Greenyellow
AT1G08890	Green
AT1G08900	Turquoise
AT1G08910	Grey
AT1G08920	Red
AT1G08930	Green
AT1G08940	Green
AT1G08960	Blue
AT1G08970	Tan
AT1G08980	Turquoise
AT1G08985	Pink
AT1G08990	Brown
AT1G09000	Blue
AT1G09010	Turquoise
AT1G09020	Grey
AT1G09030	Brown
AT1G09040	Black
AT1G09050	Black
AT1G09060	Grey
AT1G09070	Red
AT1G09080	Green
AT1G09090	Brown
AT1G09100	Grey
AT1G09110	Grey60
AT1G09130	Turquoise
AT1G09140	Grey
AT1G09150	Greenyellow
AT1G09155	Magenta
AT1G09157	Magenta
AT1G09160	Blue
AT1G09170	Brown
AT1G09176	Lightgreen
AT1G09180	Red
AT1G09190	Yellow
AT1G09195	Green
AT1G09200	Blue
AT1G09210	Greenyellow
AT1G09220	Yellow
AT1G09230	Grey
AT1G09240	Grey
AT1G09245	Lightcyan
AT1G09250	Grey
AT1G09260	Black
AT1G09270	Brown
AT1G09280	Grey
AT1G09290	Yellow
AT1G09300	Yellow
AT1G09310	Turquoise
AT1G09320	Yellow
AT1G09330	Greenyellow
AT1G09340	Turquoise
AT1G09350	Grey
AT1G09360	Tan
AT1G09370	Tan
AT1G09380	Pink
AT1G09390	Blue
AT1G09400	Grey
AT1G09410	Yellow
AT1G09415	Turquoise
AT1G09420	Grey
AT1G09421	Grey
AT1G09430	Green
AT1G09440	Blue
AT1G09450	Blue
AT1G09460	Grey
AT1G09470	Blue
AT1G09480	Green
AT1G09483	Salmon
AT1G09486	Yellow
AT1G09490	Turquoise
AT1G09500	Lightgreen
AT1G09510	Tan
AT1G09520	Grey
AT1G09530	Red
AT1G09540	Pink
AT1G09550	Pink
AT1G09560	Brown
AT1G09570	Grey
AT1G09575	Grey
AT1G09580	Blue
AT1G09590	Greenyellow
AT1G09600	Blue
AT1G09610	Pink
AT1G09620	Yellow
AT1G09630	Greenyellow
AT1G09640	Greenyellow
AT1G09645	Grey
AT1G09650	Blue
AT1G09660	Purple
AT1G09680	Yellow
AT1G09690	Greenyellow
AT1G09700	Yellow
AT1G09710	Grey
AT1G09720	Lightyellow
AT1G09730	Grey
AT1G09740	Green
AT1G09750	Purple
AT1G09760	Yellow
AT1G09770	Grey
AT1G09780	Greenyellow
AT1G09790	Tan
AT1G09794	Grey
AT1G09795	Turquoise
AT1G09800	Yellow
AT1G09810	Yellow
AT1G09812	Blue
AT1G09815	Greenyellow
AT1G09820	Blue
AT1G09830	Royalblue
AT1G09840	Grey
AT1G09850	Grey
AT1G09860	Lightyellow
AT1G09870	Salmon
AT1G09880	Lightyellow
AT1G09890	Grey
AT1G09900	Royalblue
AT1G09910	Grey
AT1G09920	Grey
AT1G09930	Black
AT1G09932	Green
AT1G09935	Darkgreen
AT1G09940	Red
AT1G09950	Red
AT1G09960	Grey
AT1G09970	Green
AT1G09980	Grey
AT1G09995	Grey
AT1G10000	Darkred
AT1G10010	Salmon
AT1G10020	Blue
AT1G10030	Blue
AT1G10040	Green
AT1G10050	Green
AT1G10060	Purple
AT1G10070	Red
AT1G10090	Red
AT1G10095	Grey
